İŞLEM YAPAN PERSONEL;FATURA TARİHİ;MARKA;İŞLETME ADI;CİHAZIN ADI;MODEL;CİHAZ SERİ NO;"TEKNİK SERVİSE 
 GİRİŞ TARİHİ";"TEKNİK SERVİSTEN 
 ÇIKIŞ TARİHİ";CİHAZ SORUNU;CİHAZ SORUN AÇIKLAMALARI;YAPILAN İŞLEM;TEKNİK SERVİS MASRAFI;"BİZİM MÜŞTERİYE
 SÖYLEDİĞİMİZ  MASRAF";ONAYLAYAN KİŞİ;"CONNECTE
 YAZILDI MI";;;;;;;;;;;;;;;;;;;;;;;
;;;MADO FINDIKZADE;POS-385;;M100600175;26.11.2015;;;;;75USD+KDV;75USD+KDV;ŞEREF BEY ONAY ALINDI.;;;;;;;;;;;;;;;;;;;;;;;;
;;;KASAP DÖNER ATAŞEHİR;POS-385;;N204280018;2.02.2016;;HARDDİSK DEĞİŞİMİ;;;50USD+KDV;50 USD+KDV;OĞUZHAN BEY ONAYLADI;evet;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVUK DÜNYASI ALANYA;OC13910041;;4.03.2016;Hugin;;;;;60 USD+KDV;60 USD+KDV ;ALİ ÜNLÜ ONAY VERDİ.;ecet;;;;;;;;;;;;;;;;;;;;;;;
;;;BURGER LAB HAVALİMANI;OC13910130;;16.03.2016;Hugin;;;;;;;ÜCRET YOK;;;;;;;;;;;;;;;;;;;;;;;;
;;;MEŞHUR KİREÇ BURNU;PARA ÇEKMECESİ MANDALI;;8.04.2016;;;;;;15 USD+KDV;15USD+KDV;LEYLA HNM;EVET;;;;;;;;;;;;;;;;;;;;;;;
;;;MADO İNCİRLİ;;;27010224-27112283;;;OFİS İÇİ KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MADO İNCİRLİ;;;27050758;;;OFİS İÇİ KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;MADO İNCİRLİ;;;26110753;;;OFİS İÇİ KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI SUADİYE;ROBOTPOS CİHAZ;;2016001039;;;MERKEZE GÖNDERİLDİ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ŞEHRİ BAZAAR;ROBOTPOS CİHAZ;;SN:0333021934 ;;;OFİS İÇİ KONTROL, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ŞEHRİ BAZAAR;EPSON YAZICI;;SNTMV220B;;;OFİS İÇİ KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI ADANA ZİYAPAŞA;MICROS YAZICI;;SN:5090263448;;;OFİS İÇİ KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI SUADİYE;MICROS CİHAZ;;SN:5090263448;;;OFİS İÇİ KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI PASHADOR AVM;MICROS CİHAZ;;SN:5295290614;;;OFİS İÇİ KONTROL ;;merkeze götürüldü ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BOSTANCI;MICROS CİHAZ;;SN:803201330 ;;;OFİS İÇİ KONTROL ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;RUMELİ ÇİKOLATACISI ÜMRANİYE (GELDİ);ROBOTPOS CİHAZ;;SN:R2016002037 ;;;MAVI EKRAN HATASI ;;ONUR GETIRDI BIR SORUN TESPIT EDILMEDI 26.05.2017;;MERKEZE GİTTİ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI BALIKESİR YAYLADA;ROBOTPOS CİHAZ;;R2016002126 ;;;EKRANA HICBIRSEY GÖRÜNMÜYOR.;;;CİHAZ< İŞLETMEYE KARGOLANDI.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAPS BEBEK;ROBOTPOS CİHAZ;;R2017002048;;;BOOT HATASI;;OFİS İÇİ KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;İKİ SATIR BAHÇELİEVLER YAYLA;ROBOTPOS CİHAZ;;SN:2016001077;;;VİRÜS BULAŞMA SORUNU;;OFİS İÇİ KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KASAP DÖNER ADANA PARK;ROBOTPOS CİHAZ;;R2016002014;;;BEYAZ EKRAN HATASI;;OFİS İÇİ KONTROL;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI LEVENT ÇARŞI;ROBOTPOS CİHAZ;;SN:2016001071;10.07.2017;;MERKEZE GÖNDERİLDİ ;;merkeze gönderildi.;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;KAHVE DÜNYASI EMAAR AVM;ROBOTPOS YAZICI;;SN:1612090022;11.07.2007;;MERKEZE GÖNDERİLDİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;TAVADA TAVUK ISPARTA İYAŞ AVM;ROBOTPOS YAZICI;;SN:1612090007;17.07.2017;;KAPAK KAPANMIYOR;;MERKEZE GÖNDERLİDİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;ÇITIR USTA EXPRESS MITTOWN BODRUM ;ROBOTPOS YAZICI;;SN:1612090028;19.07.2017;;YAZICI FİŞ ÇIKARMIYOR ;;MERKEZE GÖNDERİLDİ ;;;;;;;;;;;;;;;;;;;;;;;;;;;
